Year,Gender,Age,Value
2019,,,13.0
2018,,,10.0
2017,,,12.0
2016,,,18.0
2015,,,28.0
2014,,,24.0
2013,,,28.0
2012,,,27.0
2011,,,41.0
2010,,,29.0
2009,,,38.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,1.63
2018,,,1.25
2017,,,1.51
2016,,,2.27
2015,,,3.55
2014,,,3.05
2013,,,3.54
2012,,,3.39
2011,,,5.13
2010,,,3.6
2009,,,4.67
2019,Men,,10.0
2018,Men,,7.0
2017,Men,,9.0
2016,Men,,14.0
2015,Men,,24.0
2014,Men,,18.0
2013,Men,,24.0
2012,Men,,20.0
2011,Men,,31.0
2010,Men,,21.0
2009,Men,,22.0
2021,Men,,380275.0
2020,Men,,381117.0
2019,Men,,378431.0
2018,Men,,380807.0
2017,Men,,377718.0
2016,Men,,378282.0
2015,Men,,376142.0
2014,Men,,375952.0
2013,Men,,380127.0
2012,Men,,383245.0
2011,Men,,384159.0
2010,Men,,390293.0
2009,Men,,393358.0
2020,Men,,380696.0
2019,Men,,379774.0
2018,Men,,379619.0
2017,Men,,379262.5
2016,Men,,378000.0
2015,Men,,377212.0
2014,Men,,376047.0
2013,Men,,378039.5
2012,Men,,381686.0
2011,Men,,383702.0
2010,Men,,387226.0
2009,Men,,391825.5
2019,Men,,2.63
2018,Men,,1.84
2017,Men,,2.37
2016,Men,,3.7
2015,Men,,6.36
2014,Men,,4.79
2013,Men,,6.35
2012,Men,,5.24
2011,Men,,8.08
2010,Men,,5.42
2009,Men,,5.61
2019,Women,,3.0
2018,Women,,3.0
2017,Women,,3.0
2016,Women,,4.0
2015,Women,,4.0
2014,Women,,6.0
2013,Women,,4.0
2012,Women,,7.0
2011,Women,,10.0
2010,Women,,8.0
2009,Women,,16.0
2021,Women,,419905.0
2020,Women,,420428.0
2019,Women,,417305.0
2018,Women,,417731.0
2017,Women,,414368.0
2016,Women,,413350.0
2015,Women,,411124.0
2014,Women,,411349.0
2013,Women,,414101.0
2012,Women,,415943.0
2011,Women,,416310.0
2010,Women,,420151.0
2009,Women,,422082.0
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518.0
2017,Women,,416049.5
2016,Women,,413859.0
2015,Women,,412237.0
2014,Women,,411236.5
2013,Women,,412725.0
2012,Women,,415022.0
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,0.72
2018,Women,,0.72
2017,Women,,0.72
2016,Women,,0.97
2015,Women,,0.97
2014,Women,,1.46
2013,Women,,0.97
2012,Women,,1.69
2011,Women,,2.4
2010,Women,,1.91
2009,Women,,3.8
2019,,<30,1.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,1.0
2015,,<30,1.0
2014,,<30,2.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2021,,<30,231265.0
2020,,<30,232597.0
2019,,<30,230702.0
2018,,<30,231000.0
2017,,<30,228713.0
2016,,<30,228669.0
2015,,<30,228292.0
2014,,<30,230450.0
2013,,<30,236155.0
2012,,<30,241319.0
2011,,<30,245161.0
2010,,<30,252643.0
2009,,<30,259667.0
2020,,<30,231931.0
2019,,<30,231649.5
2018,,<30,230851.0
2017,,<30,229856.5
2016,,<30,228691.0
2015,,<30,228480.5
2014,,<30,229371.0
2013,,<30,233302.5
