Year,Gender,GeoCode,Value
2021,,,12768
2020,,,12722
2019,,,12772
2018,,,12853
2017,,,12879
2016,,,12946
2015,,,12851
2014,,,12729
2013,,,12444
2012,,,12439
2011,,,12309
2010,,,11837
2009,,,11356
2021,Men,,2062
2020,Men,,2127
2019,Men,,2104
2018,Men,,2117
2017,Men,,2187
2016,Men,,2183
2015,Men,,2221
2014,Men,,2292
2013,Men,,2315
2012,Men,,2315
2011,Men,,2343
2010,Men,,2276
2009,Men,,2240
2021,Women,,10706
2020,Women,,10595
2019,Women,,10668
2018,Women,,10736
2017,Women,,10692
2016,Women,,10763
2015,Women,,10630
2014,Women,,10437
2013,Women,,10129
2012,Women,,10124
2011,Women,,9966
2010,Women,,9561
2009,Women,,9116
2021,,1.0,474
2020,,1.0,455
2019,,1.0,459
2018,,1.0,430
2017,,1.0,432
2016,,1.0,430
2015,,1.0,442
2014,,1.0,417
2013,,1.0,397
2012,,1.0,416
2011,,1.0,416
2010,,1.0,381
2009,,1.0,388
2021,,2.0,737
2020,,2.0,741
2019,,2.0,718
2018,,2.0,696
2017,,2.0,680
2016,,2.0,703
2015,,2.0,738
2014,,2.0,753
2013,,2.0,731
2012,,2.0,706
2011,,2.0,675
2010,,2.0,679
2009,,2.0,673
2021,,3.0,788
2020,,3.0,775
2019,,3.0,790
2018,,3.0,790
2017,,3.0,820
2016,,3.0,789
2015,,3.0,785
2014,,3.0,798
2013,,3.0,810
2012,,3.0,819
2011,,3.0,806
2010,,3.0,781
2009,,3.0,710
2021,,4.0,667
2020,,4.0,655
2019,,4.0,668
2018,,4.0,681
2017,,4.0,682
2016,,4.0,680
2015,,4.0,659
2014,,4.0,625
2013,,4.0,584
2012,,4.0,590
2011,,4.0,608
2010,,4.0,571
2009,,4.0,522
2021,,5.0,714
2020,,5.0,708
2019,,5.0,722
2018,,5.0,738
2017,,5.0,708
2016,,5.0,688
2015,,5.0,707
2014,,5.0,705
2013,,5.0,752
2012,,5.0,735
2011,,5.0,706
2010,,5.0,686
2009,,5.0,717
2021,,6.0,501
2020,,6.0,489
2019,,6.0,474
2018,,6.0,466
2017,,6.0,470
2016,,6.0,477
2015,,6.0,496
2014,,6.0,475
2013,,6.0,472
2012,,6.0,461
2011,,6.0,463
2010,,6.0,488
2009,,6.0,487
2021,,7.0,725
2020,,7.0,717
2019,,7.0,724
2018,,7.0,736
2017,,7.0,764
2016,,7.0,755
2015,,7.0,753
2014,,7.0,742
2013,,7.0,703
2012,,7.0,736
2011,,7.0,745
2010,,7.0,693
2009,,7.0,711
2021,,8.0,913
2020,,8.0,910
2019,,8.0,936
2018,,8.0,941
2017,,8.0,944
2016,,8.0,951
2015,,8.0,956
2014,,8.0,909
2013,,8.0,917
2012,,8.0,898
2011,,8.0,904
2010,,8.0,852
2009,,8.0,820
2021,,9.0,828
2020,,9.0,831
2019,,9.0,825
2018,,9.0,825
2017,,9.0,828
2016,,9.0,842
2015,,9.0,814
2014,,9.0,817
2013,,9.0,784
2012,,9.0,776
2011,,9.0,794
2010,,9.0,779
2009,,9.0,722
2021,,10.0,1201
2020,,10.0,1209
2019,,10.0,1173
2018,,10.0,1188
2017,,10.0,1178
2016,,10.0,1224
2015,,10.0,1193
2014,,10.0,1198
2013,,10.0,1146
2012,,10.0,1165
2011,,10.0,1116
2010,,10.0,1064
2009,,10.0,1024
2021,,11.0,899
2020,,11.0,882
2019,,11.0,916
2018,,11.0,937
2017,,11.0,926
2016,,11.0,918
2015,,11.0,931
2014,,11.0,914
2013,,11.0,875
2012,,11.0,886
2011,,11.0,886
2010,,11.0,842
2009,,11.0,765
2021,,12.0,1090
2020,,12.0,1081
2019,,12.0,1116
2018,,12.0,1149
2017,,12.0,1180
2016,,12.0,1201
2015,,12.0,1159
2014,,12.0,1165
2013,,12.0,1156
2012,,12.0,1150
2011,,12.0,1124
2010,,12.0,1037
2009,,12.0,1004
2021,,13.0,456
2020,,13.0,454
2019,,13.0,479
2018,,13.0,482
2017,,13.0,485
2016,,13.0,474
2015,,13.0,482
2014,,13.0,480
2013,,13.0,490
2012,,13.0,522
2011,,13.0,556
2010,,13.0,575
2009,,13.0,562
2021,,14.0,396
2020,,14.0,393
2019,,14.0,387
2018,,14.0,393
2017,,14.0,398
2016,,14.0,411
2015,,14.0,417
2014,,14.0,395
2013,,14.0,428
2012,,14.0,436
2011,,14.0,454
2010,,14.0,443
2009,,14.0,425
2021,,15.0,876
2020,,15.0,873
2019,,15.0,853
2018,,15.0,907
2017,,15.0,879
2016,,15.0,903
2015,,15.0,864
2014,,15.0,887
2013,,15.0,811
2012,,15.0,773
2011,,15.0,764
2010,,15.0,753
2009,,15.0,715
2021,,16.0,774
2020,,16.0,788
2019,,16.0,802
2018,,16.0,789
2017,,16.0,795
2016,,16.0,794
2015,,16.0,762
2014,,16.0,769
2013,,16.0,762
2012,,16.0,735
2011,,16.0,676
2010,,16.0,613
2009,,16.0,576
2021,,17.0,107
2020,,17.0,122
