Year,Gender,Age,Value
2009,,,1977
2010,,,2336
2011,,,2781
2012,,,3311
2013,,,3537
2014,,,3575
2015,,,3458
2016,,,3371
2017,,,3302
2018,,,3175
2019,,,3130
2020,,,3196
2009,Men,,912
2010,Men,,1096
2011,Men,,1316
2012,Men,,1562
2013,Men,,1682
2014,Men,,1714
2015,Men,,1613
2016,Men,,1555
2017,Men,,1549
2018,Men,,1496
2019,Men,,1476
2020,Men,,1521
2009,Women,,1064
2010,Women,,1240
2011,Women,,1465
2012,Women,,1749
2013,Women,,1855
2014,Women,,1861
2015,Women,,1845
2016,Women,,1816
2017,Women,,1753
2018,Women,,1679
2019,Women,,1654
2020,Women,,1675
2010,,<30,330
2011,,<30,389
2012,,<30,420
2013,,<30,400
2014,,<30,372
2015,,<30,332
2016,,<30,339
2017,,<30,349
2018,,<30,373
2019,,<30,398
2020,,<30,409
2010,,30 a 49,1221
2011,,30 a 49,1434
2012,,30 a 49,1684
2013,,30 a 49,1767
2014,,30 a 49,1746
2015,,30 a 49,1617
2016,,30 a 49,1521
2017,,30 a 49,1421
2018,,30 a 49,1304
2019,,30 a 49,1227
2020,,30 a 49,1201
2010,,>=50,786
2011,,>=50,958
2012,,>=50,1206
2013,,>=50,1368
2014,,>=50,1457
2015,,>=50,1510
2016,,>=50,1511
2017,,>=50,1531
2018,,>=50,1498
2019,,>=50,1506
2020,,>=50,1586
