Year,Sexe,Edat,Value
2021,,,169
2020,,,160
2019,,,285
2018,,,273
2017,,,180
2016,,,165
2015,,,158
2014,,,80
2013,,,97
2012,,,99
2011,,,120
2010,,,102
2009,,,96
2021,Homes,,66
2020,Homes,,60
2019,Homes,,106
2018,Homes,,76
2017,Homes,,56
2016,Homes,,61
2015,Homes,,56
2014,Homes,,34
2013,Homes,,26
2012,Homes,,40
2011,Homes,,46
2010,Homes,,59
2009,Homes,,55
2021,Dones,,103
2020,Dones,,100
2019,Dones,,179
2018,Dones,,197
2017,Dones,,124
2016,Dones,,104
2015,Dones,,102
2014,Dones,,46
2013,Dones,,71
2012,Dones,,59
2011,Dones,,74
2010,Dones,,43
2009,Dones,,41
2021,,<30,15
2020,,<30,11
2019,,<30,12
2018,,<30,33
2017,,<30,11
2016,,<30,10
2015,,<30,10
2014,,<30,6
2013,,<30,5
2012,,<30,12
2011,,<30,10
2010,,<30,161
2009,,<30,10
2021,,30 a 49,92
2020,,30 a 49,84
2019,,30 a 49,159
2018,,30 a 49,137
2017,,30 a 49,91
2016,,30 a 49,89
2015,,30 a 49,97
2014,,30 a 49,43
2013,,30 a 49,63
2012,,30 a 49,45
2011,,30 a 49,69
2010,,30 a 49,145
2009,,30 a 49,65
2021,,>=50,62
2020,,>=50,65
2019,,>=50,114
2018,,>=50,103
2017,,>=50,78
2016,,>=50,66
2015,,>=50,51
2014,,>=50,31
2013,,>=50,29
2012,,>=50,42
2011,,>=50,41
2010,,>=50,102
2009,,>=50,21
