Year,Gender,Age,GeoCode,Value
2015,,,,22.8
2016,,,,21.8
2017,,,,21.6
2018,,,,20.8
2015,Men,,,23.1
2016,Men,,,21.9
2017,Men,,,21.4
2018,Men,,,20.6
2015,Women,,,22.5
2016,Women,,,21.7
2017,Women,,,21.9
2018,Women,,,21.1
2015,,<18,,29.8
2016,,<18,,28.6
2017,,<18,,28.3
2018,,<18,,27.4
2015,,18 a 64,,25
2016,,18 a 64,,23.9
2017,,18 a 64,,23.3
2018,,18 a 64,,22.5
2015,,>=65,,10.3
2016,,>=65,,9.9
2017,,>=65,,11.5
2018,,>=65,,10.7
2015,,,1,18.9
2016,,,1,17.5
2017,,,1,16.6
2018,,,1,16.1
2015,,,2,15.1
2016,,,2,14.3
2017,,,2,13.8
2018,,,2,12.8
2015,,,3,17.3
2016,,,3,16.9
2017,,,3,16.6
2018,,,3,15.6
2015,,,4,17.9
2016,,,4,17.7
2017,,,4,17
2018,,,4,16.9
2015,,,5,24.3
2016,,,5,23.6
2017,,,5,23.3
2018,,,5,22.4
2015,,,6,12.3
2016,,,6,12
2017,,,6,11.7
2018,,,6,11.2
2015,,,7,27.5
2016,,,7,26.7
2017,,,7,27.4
2018,,,7,27
2015,,,8,19.5
2016,,,8,18.2
2017,,,8,18.3
2018,,,8,17.6
2015,,,9,25
2016,,,9,24.1
2017,,,9,24.3
2018,,,9,23.3
2015,,,10,26.1
2016,,,10,25.1
2017,,,10,25.1
2018,,,10,24
2015,,,11,29.3
2016,,,11,27.4
2017,,,11,27.6
2018,,,11,26.6
2015,,,12,22.8
2016,,,12,21.6
2017,,,12,21.5
2018,,,12,20.5
2015,,,13,18.4
2016,,,13,17.9
2017,,,13,18
2018,,,13,17.6
2015,,,14,20.1
2016,,,14,19.5
2017,,,14,19.2
2018,,,14,17.8
2015,,,15,28.8
2016,,,15,27.5
2017,,,15,27.2
2018,,,15,26.3
2015,,,16,26.6
2016,,,16,25.1
2017,,,16,25.1
2018,,,16,24.7
2015,,,17,18.2
2016,,,17,17.1
2017,,,17,16.9
2018,,,17,15.8
2015,,,18,30
2016,,,18,28.1
2017,,,18,26.9
2018,,,18,27.1
2015,,,19,24
2016,,,19,22.5
2017,,,19,21.5
2018,,,19,20.3
