Year,Gender,Age,Value
2009,,,0.62
2010,,,0.74
2011,,,0.38
2012,,,0.63
2013,,,0.38
2014,,,0.76
2015,,,0.38
2016,,,0.51
2017,,,0.38
2018,,,0.25
2019,,,0.38
2009,Men,,1.02
2010,Men,,0.52
2011,Men,,0.52
2012,Men,,1.05
2013,Men,,0.53
2014,Men,,0.8
2015,Men,,0.53
2016,Men,,0.53
2017,Men,,0.53
2018,Men,,0.53
2019,Men,,0.53
2009,Women,,0.24
2010,Women,,0.96
2011,Women,,0.24
2012,Women,,0.24
2013,Women,,0.24
2014,Women,,0.73
2015,Women,,0.24
2016,Women,,0.48
2017,Women,,0.24
2018,Women,,0
2019,Women,,0.24
2009,,<30,0
2010,,<30,0
2011,,<30,0
2012,,<30,0
2013,,<30,0
2014,,<30,0
2015,,<30,0
2016,,<30,0
2017,,<30,0
2018,,<30,0
2019,,<30,0
2009,,30 a 69,0.66
2010,,30 a 69,0
2011,,30 a 69,0.45
2012,,30 a 69,0.45
2013,,30 a 69,0.45
2014,,30 a 69,0.22
2015,,30 a 69,0.22
2016,,30 a 69,0
2017,,30 a 69,0
2018,,30 a 69,0.22
2019,,30 a 69,0.45
2009,,>=70,1.9
2010,,>=70,5.64
2011,,>=70,0.92
2012,,>=70,2.75
2013,,>=70,0.91
2014,,>=70,4.45
2015,,>=70,1.75
2016,,>=70,3.43
2017,,>=70,2.53
2018,,>=70,0.83
2019,,>=70,0.81
