Year,GeoCode,Value
2011,,99009
2012,,98996
2013,,106866
2014,,100866
2015,,107923
2016,,107845
2017,,107374
2018,,107872
2019,,106237
2020,,101858
2011,1,5223
2012,1,5228
2013,1,6213
2014,1,5296
2015,1,6250
2016,1,6233
2017,1,6259
2018,1,6259
2019,1,6219
2020,1,6214
2011,2,4443
2012,2,4443
2013,2,4848
2014,2,4449
2015,2,4848
2016,2,4816
2017,2,4838
2018,2,4760
2019,2,4626
2020,2,4627
2011,3,4733
2012,3,4733
2013,3,5611
2014,3,4732
2015,3,5611
2016,3,5612
2017,3,5593
2018,3,5589
2019,3,5444
2020,3,5404
2011,4,7116
2012,4,6593
2013,4,7515
2014,4,6564
2015,4,7367
2016,4,7271
2017,4,6458
2018,4,5677
2019,4,7517
2020,4,6688
2011,5,4131
2012,5,3982
2013,5,4929
2014,5,4219
2015,5,4958
2016,5,5013
2017,5,4955
2018,5,5642
2019,5,5020
2020,5,4623
2011,6,4500
2012,6,5024
2013,6,4998
2014,6,5108
2015,6,5122
2016,6,5122
2017,6,5030
2018,6,5099
2019,6,5193
2020,6,4681
2011,7,5425
2012,7,5398
2013,7,5817
2014,7,5494
2015,7,5817
2016,7,5775
2017,7,5843
2018,7,5192
2019,7,4814
2020,7,3809
2011,8,5354
2012,8,5354
2013,8,5475
2014,8,5438
2015,8,5477
2016,8,5480
2017,8,5438
2018,8,5470
2019,8,5379
2020,8,5262
2011,9,3876
2012,9,3876
2013,9,3797
2014,9,3802
2015,9,3802
2016,9,3893
2017,9,3975
2018,9,3976
2019,9,3972
2020,9,3980
2011,10,8008
2012,10,8041
2013,10,8986
2014,10,8051
2015,10,9014
2016,10,9112
2017,10,9158
2018,10,9740
2019,10,8804
2020,10,8278
2011,11,10319
2012,11,10333
2013,11,10429
2014,11,10409
2015,11,10441
2016,11,10469
2017,11,10620
2018,11,10425
2019,11,10561
2020,11,10255
2011,12,5679
2012,12,5605
2013,12,5585
2014,12,5627
2015,12,5653
2016,12,5848
2017,12,5398
2018,12,6141
2019,12,5747
2020,12,5679
2011,13,4528
2012,13,4591
2013,13,4575
2014,13,4594
2015,13,4594
2016,13,4594
2017,13,4581
2018,13,4581
2019,13,4570
2020,13,4503
2011,14,2853
2012,14,3008
2013,14,3453
2014,14,2981
2015,14,3432
2016,14,3432
2017,14,3906
2018,14,3863
2019,14,3444
2020,14,3344
2011,15,4404
2012,15,4362
2013,15,4831
2014,15,4521
2015,15,4987
2016,15,4888
2017,15,4866
2018,15,5144
2019,15,4701
2020,15,4314
2011,16,4008
2012,16,4012
2013,16,4057
2014,16,4065
2015,16,4067
2016,16,3917
2017,16,3879
2018,16,3879
2019,16,4058
2020,16,4002
2011,17,2888
2012,17,2765
2013,17,2910
2014,17,3058
2015,17,3085
2016,17,3121
2017,17,3065
2018,17,3039
2019,17,3036
2020,17,3036
2011,18,2568
2012,18,2458
2013,18,3414
2014,18,2530
2015,18,3456
2016,18,3456
2017,18,3494
2018,18,3378
2019,18,3522
2020,18,3522
2011,19,5204
2012,19,5219
2013,19,5233
2014,19,5689
2015,19,5703
2016,19,5689
2017,19,5704
2018,19,5704
2019,19,5695
2020,19,5700
