Year,Gender,Age,GeoCode,Value
2019,,,,5.45
2018,,,,5.61
2017,,,,5.62
2019,Men,,,5.44
2018,Men,,,5.6
2017,Men,,,5.58
2019,Women,,,5.44
2018,Women,,,5.61
2017,Women,,,5.6
2019,,18 a 39,,5.86
2018,,18 a 39,,5.91
2017,,18 a 39,,5.82
2019,,40 a 64,,5.3
2018,,40 a 64,,5.52
2017,,40 a 64,,5.51
2019,,>=65,,5.16
2018,,>=65,,5.36
2017,,>=65,,5.48
2019,,,1.0,5.51
2018,,,1.0,6.13
2017,,,1.0,5.45
2019,,,2.0,4.9
2018,,,2.0,5.23
2017,,,2.0,5.23
2019,,,3.0,4.41
2018,,,3.0,4.99
2017,,,3.0,5.71
2019,,,4.0,5.58
2018,,,4.0,5.52
2017,,,4.0,6.47
2019,,,5.0,4.89
2018,,,5.0,5.86
2017,,,5.0,5.58
2019,,,6.0,3.87
2018,,,6.0,5.59
2017,,,6.0,4.82
2019,,,7.0,5.46
2018,,,7.0,5.71
2017,,,7.0,5.44
2019,,,8.0,6.11
2018,,,8.0,5.68
2017,,,8.0,5.88
2019,,,9.0,6.0
2018,,,9.0,5.82
2017,,,9.0,6.16
2019,,,10.0,6.14
2018,,,10.0,5.9
2017,,,10.0,6.29
2019,,,11.0,5.8
2018,,,11.0,5.85
2017,,,11.0,5.49
2019,,,12.0,5.52
2018,,,12.0,5.48
2017,,,12.0,4.45
2019,,,13.0,5.84
2018,,,13.0,5.83
2017,,,13.0,4.89
2019,,,14.0,5.83
2018,,,14.0,5.65
2017,,,14.0,5.94
2019,,,15.0,4.3
2018,,,15.0,5.28
2017,,,15.0,5.74
2019,,,16.0,5.73
2018,,,16.0,5.65
2017,,,16.0,5.86
2019,,,17.0,5.47
2018,,,17.0,5.23
2017,,,17.0,5.46
2019,,,18.0,5.24
2018,,,18.0,4.77
2017,,,18.0,5.41
2019,,,19.0,5.03
2018,,,19.0,5.03
2017,,,19.0,5.34
