Year,Sexo,Value
2023,,60.2
2022,,57.07
2021,,55.55
2020,,56.53
2019,,57.19
2018,,58.24
2017,,59.19
2016,,58.36
2015,,58.47
2014,,57.46
2013,,57.5
2012,,57.75
2011,,58.0
2010,,59.0
2009,,60.75
2023,Hombres,65.44
2022,Hombres,61.22
2021,Hombres,57.9
2020,Hombres,62.18
2019,Hombres,64.17
2018,Hombres,64.58
2017,Hombres,64.95
2016,Hombres,62.79
2015,Hombres,64.29
2014,Hombres,63.89
2013,Hombres,64.25
2012,Hombres,62.5
2011,Hombres,62.5
2010,Hombres,66.25
2009,Hombres,68.25
2023,Mujeres,55.66
2022,Mujeres,53.37
2021,Mujeres,53.5
2020,Mujeres,51.67
2019,Mujeres,50.9
2018,Mujeres,52.65
2017,Mujeres,53.97
2016,Mujeres,54.31
2015,Mujeres,53.21
2014,Mujeres,51.65
2013,Mujeres,51.5
2012,Mujeres,53.75
2011,Mujeres,53.25
2010,Mujeres,52.25
2009,Mujeres,54.0
