Year,Sexo,Value
2021,,68.84
2020,,60.31
2019,,89.9
2018,,98.98
2017,,98.45
2016,,98.5
2015,,84.11
2014,,90.82
2013,,94.47
2012,,90.25
2011,,117.15
2010,,104.79
2021,Hombres,106.17
2020,Hombres,85.63
2019,Hombres,139.03
2018,Hombres,152.52
2017,Hombres,154.51
2016,Hombres,150.26
2015,Hombres,131.76
2014,Hombres,140.14
2013,Hombres,142.31
2012,Hombres,140.43
2011,Hombres,181.39
2010,Hombres,162.18
2021,Mujeres,35.05
2020,Mujeres,37.37
2019,Mujeres,45.36
2018,Mujeres,50.3
2017,Mujeres,47.35
2016,Mujeres,51.23
2015,Mujeres,40.51
2014,Mujeres,45.72
2013,Mujeres,50.64
2012,Mujeres,44.09
2011,Mujeres,57.92
2010,Mujeres,51.65
